               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10826,             0.07161,                   0,             0.60667,             0.29455,             0.60564,             0.60141,            0.086108,            0.050589,                   0,              0.0838,              0.0018,              0.0018
                   1,            0.092524,            0.075843,                   0,              0.6079,             0.34904,             0.61434,              0.6031,            0.076549,            0.052684,                   0,            0.066693,           0.0036927,           0.0036927
                   2,            0.085731,            0.091573,                   0,             0.65842,            0.086892,             0.62354,             0.60575,            0.077762,            0.063601,                   0,            0.049578,           0.0055778,           0.0055778
                   3,            0.082392,            0.084665,                   0,             0.64604,             0.11487,              0.6201,             0.60425,            0.083674,            0.062361,                   0,            0.032455,           0.0074554,           0.0074554
                   4,            0.080674,            0.088355,                   0,             0.69642,             0.13697,             0.64784,             0.61202,            0.071721,            0.061085,                   0,            0.015326,           0.0093256,           0.0093256
                   5,            0.081343,            0.083925,                   0,             0.73405,             0.17673,              0.6864,             0.62367,            0.067692,            0.067886,                   0,            0.009901,            0.009901,            0.009901
                   6,            0.073276,            0.078455,                   0,             0.76474,             0.15611,             0.68386,             0.62647,            0.070081,            0.073147,                   0,            0.009901,            0.009901,            0.009901
                   7,            0.069357,            0.087556,                   0,             0.77585,             0.24153,             0.71319,             0.63561,            0.064973,            0.076586,                   0,           0.0098812,           0.0098812,           0.0098812
                   8,            0.067514,             0.06663,                   0,             0.76895,              0.2327,             0.71023,             0.63319,            0.062069,            0.052835,                   0,           0.0098614,           0.0098614,           0.0098614
                   9,            0.064966,            0.061879,                   0,             0.81795,             0.28866,             0.76298,             0.65515,            0.055915,            0.056945,                   0,           0.0098416,           0.0098416,           0.0098416
                  10,            0.064522,            0.075169,                   0,             0.79804,             0.27495,             0.73076,              0.6433,            0.061936,            0.064857,                   0,           0.0098218,           0.0098218,           0.0098218
                  11,            0.062259,            0.076479,                   0,             0.79081,             0.22975,             0.72326,             0.64379,             0.05429,            0.055456,                   0,            0.009802,            0.009802,            0.009802
                  12,            0.061736,            0.083137,                   0,             0.79378,             0.21649,             0.71421,             0.63862,             0.05655,            0.063613,                   0,           0.0097822,           0.0097822,           0.0097822
                  13,            0.060224,             0.08573,                   0,             0.83264,             0.20324,             0.72286,             0.64042,            0.057464,            0.058204,                   0,           0.0097624,           0.0097624,           0.0097624
                  14,            0.060701,            0.069775,                   0,             0.85014,              0.2106,             0.74799,             0.65386,            0.055443,            0.057582,                   0,           0.0097426,           0.0097426,           0.0097426
                  15,            0.058214,            0.076697,                   0,              0.8925,             0.23417,             0.77746,             0.66326,            0.058218,            0.057198,                   0,           0.0097228,           0.0097228,           0.0097228
                  16,            0.056422,            0.082834,                   0,             0.89364,              0.2592,             0.78214,             0.66243,            0.051346,            0.061691,                   0,            0.009703,            0.009703,            0.009703
                  17,            0.056047,            0.076223,                   0,               0.852,             0.24153,             0.75672,             0.65587,            0.053684,            0.059037,                   0,           0.0096832,           0.0096832,           0.0096832
                  18,             0.05411,            0.073756,                   0,             0.92356,             0.26951,             0.81449,             0.67235,            0.058364,            0.056153,                   0,           0.0096634,           0.0096634,           0.0096634
                  19,            0.055891,            0.066196,                   0,             0.92416,             0.26362,             0.79918,             0.67167,            0.058339,            0.058027,                   0,           0.0096436,           0.0096436,           0.0096436
                  20,             0.05353,            0.070926,                   0,             0.85597,             0.22091,             0.74845,             0.65334,            0.055873,            0.057682,                   0,           0.0096238,           0.0096238,           0.0096238
                  21,            0.053037,            0.067765,                   0,             0.90817,             0.27688,             0.80997,             0.67201,            0.051919,            0.057069,                   0,            0.009604,            0.009604,            0.009604
                  22,            0.052512,            0.064127,                   0,             0.87096,             0.28424,             0.78731,             0.66254,            0.055761,            0.060781,                   0,           0.0095842,           0.0095842,           0.0095842
                  23,            0.050988,            0.065164,                   0,             0.83869,             0.25331,             0.76852,             0.66183,            0.053851,            0.057231,                   0,           0.0095644,           0.0095644,           0.0095644
                  24,             0.05353,            0.061827,                   0,             0.93815,             0.24448,             0.78511,             0.66826,            0.054553,            0.057442,                   0,           0.0095446,           0.0095446,           0.0095446
                  25,            0.052542,            0.065822,                   0,             0.85679,             0.30781,             0.78275,             0.66577,            0.051339,            0.059507,                   0,           0.0095248,           0.0095248,           0.0095248
                  26,             0.05068,            0.065326,                   0,             0.87363,             0.27246,             0.79066,             0.67019,            0.052476,            0.058846,                   0,            0.009505,            0.009505,            0.009505
                  27,            0.050804,            0.065553,                   0,             0.84901,             0.26362,             0.76222,             0.65662,            0.058343,            0.064538,                   0,           0.0094852,           0.0094852,           0.0094852
                  28,            0.050284,            0.069629,                   0,             0.89659,               0.213,             0.76393,             0.65209,            0.057076,            0.061782,                   0,           0.0094654,           0.0094654,           0.0094654
                  29,            0.049583,            0.057135,                   0,              0.8955,             0.20619,             0.76356,             0.65626,            0.051601,            0.060147,                   0,           0.0094456,           0.0094456,           0.0094456
                  30,            0.047296,            0.060672,                   0,             0.96069,             0.23681,             0.79407,             0.66628,            0.048495,            0.062644,                   0,           0.0094258,           0.0094258,           0.0094258
                  31,             0.04808,            0.061962,                   0,             0.90743,             0.27099,             0.80075,             0.66761,            0.063546,            0.062452,                   0,            0.009406,            0.009406,            0.009406
                  32,            0.045841,            0.056041,                   0,              0.8809,             0.25037,             0.76617,             0.66247,            0.065516,            0.062717,                   0,           0.0093862,           0.0093862,           0.0093862
                  33,            0.047044,            0.056431,                   0,             0.91172,             0.23711,             0.78522,             0.66235,            0.060168,            0.060805,                   0,           0.0093664,           0.0093664,           0.0093664
                  34,            0.045457,            0.070568,                   0,             0.85102,             0.26657,             0.77484,             0.65699,             0.05836,            0.061173,                   0,           0.0093466,           0.0093466,           0.0093466
                  35,            0.045836,             0.06046,                   0,             0.84497,             0.26804,               0.769,             0.65964,            0.058135,             0.06302,                   0,           0.0093268,           0.0093268,           0.0093268
                  36,            0.043902,            0.064824,                   0,              0.7995,             0.25479,             0.72559,             0.64016,            0.066181,            0.067838,                   0,            0.009307,            0.009307,            0.009307
                  37,            0.046741,            0.056507,                   0,             0.88391,             0.25037,             0.77103,             0.65929,            0.062064,            0.063074,                   0,           0.0092872,           0.0092872,           0.0092872
                  38,            0.045114,            0.056495,                   0,             0.89938,              0.2268,             0.76557,             0.65622,            0.056694,            0.062056,                   0,           0.0092674,           0.0092674,           0.0092674
                  39,            0.043455,             0.05726,                   0,             0.96251,             0.18341,             0.76441,             0.65841,            0.055459,            0.061695,                   0,           0.0092476,           0.0092476,           0.0092476
                  40,            0.045278,            0.060798,                   0,             0.81462,             0.25918,             0.74547,             0.64879,            0.056066,            0.064694,                   0,           0.0092278,           0.0092278,           0.0092278
                  41,            0.045768,            0.054129,                   0,             0.84805,             0.20029,              0.7263,             0.64213,            0.060383,            0.064242,                   0,            0.009208,            0.009208,            0.009208
                  42,            0.042606,            0.055769,                   0,              0.8517,             0.27835,             0.76141,             0.65315,            0.062324,            0.062379,                   0,           0.0091882,           0.0091882,           0.0091882
                  43,            0.043522,            0.049968,                   0,             0.90003,              0.2489,             0.77402,             0.66166,            0.057873,            0.063611,                   0,           0.0091684,           0.0091684,           0.0091684
                  44,            0.044117,            0.057314,                   0,             0.87413,             0.21525,             0.74222,              0.6477,            0.054584,            0.067921,                   0,           0.0091486,           0.0091486,           0.0091486
                  45,            0.043016,            0.054786,                   0,             0.87636,             0.21649,             0.74955,             0.65034,            0.052791,            0.060211,                   0,           0.0091288,           0.0091288,           0.0091288
                  46,            0.042545,            0.059626,                   0,             0.88131,              0.2489,             0.77565,             0.66182,            0.054822,            0.063005,                   0,            0.009109,            0.009109,            0.009109
                  47,            0.042517,            0.059363,                   0,             0.92278,             0.25037,             0.79697,             0.66827,            0.055406,            0.064111,                   0,           0.0090892,           0.0090892,           0.0090892
                  48,            0.041681,            0.054975,                   0,             0.87497,             0.23122,             0.77114,                0.66,            0.057279,            0.066576,                   0,           0.0090694,           0.0090694,           0.0090694
                  49,            0.042298,            0.049976,                   0,             0.86715,             0.24448,             0.77291,             0.66206,            0.057727,             0.06729,                   0,           0.0090496,           0.0090496,           0.0090496
                  50,            0.040053,            0.050436,                   0,             0.82322,             0.26215,             0.76939,             0.65619,             0.05514,            0.066676,                   0,           0.0090298,           0.0090298,           0.0090298
                  51,            0.039928,            0.052594,                   0,              0.8764,             0.21208,              0.7568,             0.65443,            0.059164,             0.06975,                   0,             0.00901,             0.00901,             0.00901
                  52,            0.041121,            0.055886,                   0,              0.8485,              0.2489,              0.7591,             0.65467,            0.054031,            0.068123,                   0,           0.0089902,           0.0089902,           0.0089902
                  53,            0.040381,            0.057737,                   0,             0.87862,              0.2592,             0.76539,             0.65722,            0.052272,            0.070806,                   0,           0.0089704,           0.0089704,           0.0089704
                  54,            0.038634,            0.048835,                   0,             0.80577,             0.22855,              0.7233,             0.64166,            0.051275,            0.071254,                   0,           0.0089506,           0.0089506,           0.0089506
                  55,            0.039173,            0.052275,                   0,               0.863,             0.25037,             0.74362,             0.64847,            0.052685,            0.069481,                   0,           0.0089308,           0.0089308,           0.0089308
                  56,            0.039942,            0.047441,                   0,             0.87308,             0.24123,             0.75796,             0.65571,             0.05494,            0.069794,                   0,            0.008911,            0.008911,            0.008911
                  57,            0.038605,            0.046191,                   0,             0.86937,             0.21208,             0.75575,             0.65518,            0.053658,            0.072117,                   0,           0.0088912,           0.0088912,           0.0088912
                  58,             0.03868,            0.045876,                   0,             0.84922,             0.28866,             0.77259,             0.65825,            0.051764,            0.068823,                   0,           0.0088714,           0.0088714,           0.0088714
                  59,            0.039801,            0.052696,                   0,              0.8791,             0.25037,             0.77317,             0.65611,            0.051533,             0.06871,                   0,           0.0088516,           0.0088516,           0.0088516
                  60,            0.036814,             0.04874,                   0,             0.83535,             0.26835,             0.76166,             0.65509,            0.053511,            0.068993,                   0,           0.0088318,           0.0088318,           0.0088318
                  61,            0.037263,            0.050828,                   0,             0.84913,             0.23417,             0.76661,             0.65871,            0.053166,            0.069771,                   0,            0.008812,            0.008812,            0.008812
                  62,            0.037955,            0.050371,                   0,             0.87785,              0.2489,             0.78032,             0.66213,            0.059366,            0.066207,                   0,           0.0087922,           0.0087922,           0.0087922
                  63,            0.037526,            0.052088,                   0,             0.88479,             0.21944,             0.76901,             0.65835,            0.057965,            0.067249,                   0,           0.0087724,           0.0087724,           0.0087724
                  64,            0.038179,            0.046427,                   0,              0.8777,             0.22828,             0.77948,             0.66171,            0.053531,            0.067918,                   0,           0.0087526,           0.0087526,           0.0087526
                  65,            0.036998,            0.047685,                   0,             0.89531,             0.22239,             0.76466,             0.65508,            0.058407,            0.068229,                   0,           0.0087328,           0.0087328,           0.0087328
                  66,            0.037344,            0.045214,                   0,             0.82524,              0.2489,             0.74785,             0.64955,            0.055862,            0.070754,                   0,            0.008713,            0.008713,            0.008713
                  67,            0.036482,            0.045128,                   0,             0.85668,              0.1944,             0.72265,             0.64028,            0.061462,            0.070073,                   0,           0.0086932,           0.0086932,           0.0086932
                  68,            0.035781,            0.045697,                   0,              0.8507,               0.243,             0.75323,             0.65062,             0.06256,            0.069019,                   0,           0.0086734,           0.0086734,           0.0086734
                  69,            0.035715,             0.04971,                   0,             0.83764,             0.25937,             0.75481,             0.65049,            0.059574,            0.069025,                   0,           0.0086536,           0.0086536,           0.0086536
                  70,            0.036023,            0.045436,                   0,             0.84935,             0.28424,             0.76104,             0.65405,            0.057172,             0.07165,                   0,           0.0086338,           0.0086338,           0.0086338
                  71,            0.036208,            0.048453,                   0,             0.84794,             0.22975,             0.74964,             0.64968,            0.056215,            0.071138,                   0,            0.008614,            0.008614,            0.008614
                  72,            0.035259,            0.045327,                   0,             0.80412,             0.25479,             0.73752,             0.64589,            0.057902,            0.069993,                   0,           0.0085942,           0.0085942,           0.0085942
                  73,            0.035072,             0.05307,                   0,              0.8122,             0.20913,             0.71506,             0.63618,            0.060121,            0.068184,                   0,           0.0085744,           0.0085744,           0.0085744
                  74,            0.033958,            0.039868,                   0,             0.86316,              0.2489,             0.75228,             0.65081,            0.056174,            0.070025,                   0,           0.0085546,           0.0085546,           0.0085546
                  75,            0.035963,            0.046019,                   0,              0.8647,             0.23711,             0.75715,             0.65329,            0.054233,            0.069803,                   0,           0.0085348,           0.0085348,           0.0085348
                  76,            0.035149,            0.042799,                   0,              0.8609,             0.21944,             0.75212,             0.65119,            0.056507,            0.070746,                   0,            0.008515,            0.008515,            0.008515
                  77,             0.03516,            0.040494,                   0,             0.85113,             0.24153,             0.75418,             0.65132,            0.057143,            0.070911,                   0,           0.0084952,           0.0084952,           0.0084952
                  78,            0.034275,            0.045481,                   0,              0.8501,             0.19293,             0.73826,             0.64889,            0.057639,            0.074396,                   0,           0.0084754,           0.0084754,           0.0084754
                  79,            0.034847,            0.041801,                   0,             0.85444,             0.21355,             0.74495,             0.65086,            0.055138,             0.07502,                   0,           0.0084556,           0.0084556,           0.0084556
                  80,            0.034902,            0.045684,                   0,             0.89197,             0.21355,             0.74269,               0.653,            0.059391,            0.075655,                   0,           0.0084358,           0.0084358,           0.0084358
                  81,            0.034198,            0.045045,                   0,             0.84052,              0.2592,             0.75972,             0.65539,            0.060066,             0.07104,                   0,            0.008416,            0.008416,            0.008416
                  82,            0.032918,            0.043713,                   0,             0.83038,             0.25184,             0.74727,             0.65077,            0.060386,              0.0741,                   0,           0.0083962,           0.0083962,           0.0083962
                  83,            0.033744,             0.04186,                   0,             0.78366,             0.22533,             0.71977,             0.64287,               0.061,            0.077589,                   0,           0.0083764,           0.0083764,           0.0083764
                  84,            0.033705,            0.042077,                   0,             0.81039,             0.24448,             0.73173,             0.64331,            0.061706,            0.074408,                   0,           0.0083566,           0.0083566,           0.0083566
                  85,            0.033175,            0.038478,                   0,             0.85001,             0.21208,             0.75389,             0.65365,            0.059178,             0.07347,                   0,           0.0083368,           0.0083368,           0.0083368
                  86,            0.032612,            0.040682,                   0,             0.83229,             0.22091,             0.73511,             0.64469,            0.051172,            0.073229,                   0,            0.008317,            0.008317,            0.008317
                  87,            0.032334,            0.039498,                   0,             0.85419,             0.24595,             0.76464,             0.65828,             0.05511,            0.072816,                   0,           0.0082972,           0.0082972,           0.0082972
                  88,            0.031514,            0.039308,                   0,             0.91999,             0.18409,             0.75273,             0.65563,            0.054207,            0.075464,                   0,           0.0082774,           0.0082774,           0.0082774
                  89,            0.033182,            0.047735,                   0,             0.85338,             0.27835,              0.7733,             0.65997,            0.055793,            0.073345,                   0,           0.0082576,           0.0082576,           0.0082576
