               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10804,            0.068481,                   0,              0.6072,             0.31811,             0.60552,             0.60143,            0.092182,            0.048843,                   0,              0.0838,              0.0018,              0.0018
                   1,            0.093379,            0.071936,                   0,             0.65963,            0.064801,              0.6192,             0.60473,            0.075526,            0.051955,                   0,            0.066693,           0.0036927,           0.0036927
                   2,            0.085268,            0.085073,                   0,             0.61655,            0.082474,             0.60624,             0.60174,            0.076765,            0.059685,                   0,            0.049578,           0.0055778,           0.0055778
                   3,             0.08207,             0.08181,                   0,             0.65331,            0.095729,             0.62144,              0.6047,            0.076498,            0.062781,                   0,            0.032455,           0.0074554,           0.0074554
                   4,            0.078374,            0.089028,                   0,             0.77525,             0.16348,             0.69088,             0.62569,            0.076903,            0.056199,                   0,            0.015326,           0.0093256,           0.0093256
                   5,            0.079831,            0.085964,                   0,             0.67061,            0.092784,             0.62923,             0.60801,             0.07597,            0.063588,                   0,            0.009901,            0.009901,            0.009901
                   6,            0.073337,            0.077441,                   0,             0.71762,             0.15169,             0.66362,             0.61956,            0.065892,            0.069481,                   0,            0.009901,            0.009901,            0.009901
                   7,            0.068397,            0.089703,                   0,             0.74745,             0.20766,             0.70089,             0.62965,            0.065302,             0.10738,                   0,           0.0098812,           0.0098812,           0.0098812
                   8,            0.067549,            0.068169,                   0,             0.73719,             0.14875,             0.66345,             0.61892,            0.063126,            0.077842,                   0,           0.0098614,           0.0098614,           0.0098614
                   9,            0.066135,            0.063569,                   0,             0.80282,             0.17231,             0.70662,             0.63743,            0.061049,            0.053533,                   0,           0.0098416,           0.0098416,           0.0098416
                  10,            0.065617,             0.07536,                   0,             0.77371,             0.19735,             0.70099,             0.63125,            0.061308,            0.054019,                   0,           0.0098218,           0.0098218,           0.0098218
                  11,            0.064281,            0.077508,                   0,             0.82967,             0.17378,             0.70207,             0.63527,            0.065765,            0.059256,                   0,            0.009802,            0.009802,            0.009802
                  12,            0.063154,            0.085043,                   0,             0.79675,             0.20471,             0.71546,             0.63988,            0.065021,            0.053844,                   0,           0.0097822,           0.0097822,           0.0097822
                  13,            0.061988,            0.086969,                   0,             0.74077,            0.070692,             0.63713,             0.61352,            0.063305,            0.075714,                   0,           0.0097624,           0.0097624,           0.0097624
                  14,            0.060762,            0.072756,                   0,             0.77026,             0.11635,             0.67117,             0.62363,            0.060969,            0.064038,                   0,           0.0097426,           0.0097426,           0.0097426
                  15,            0.060904,            0.077817,                   0,             0.88083,             0.28424,             0.79021,             0.66379,             0.05225,            0.053806,                   0,           0.0097228,           0.0097228,           0.0097228
                  16,            0.058481,            0.084647,                   0,             0.85179,             0.29161,             0.78615,             0.66631,            0.049172,            0.057481,                   0,            0.009703,            0.009703,            0.009703
                  17,            0.057136,            0.078609,                   0,             0.88969,             0.23711,             0.77041,             0.65867,            0.060266,            0.053786,                   0,           0.0096832,           0.0096832,           0.0096832
                  18,             0.05662,            0.076209,                   0,             0.83267,              0.1944,             0.72639,             0.64673,            0.058006,             0.06372,                   0,           0.0096634,           0.0096634,           0.0096634
                  19,            0.057789,            0.069548,                   0,             0.80569,             0.27688,             0.75227,             0.65178,            0.066608,            0.059969,                   0,           0.0096436,           0.0096436,           0.0096436
                  20,            0.056056,            0.075569,                   0,             0.84485,             0.21797,             0.74353,             0.64949,            0.067641,            0.058071,                   0,           0.0096238,           0.0096238,           0.0096238
                  21,            0.055291,            0.072208,                   0,             0.91547,             0.28167,             0.81934,             0.67376,            0.064993,            0.055143,                   0,            0.009604,            0.009604,            0.009604
                  22,            0.054278,            0.068959,                   0,             0.85884,             0.31959,             0.80872,             0.67368,            0.062196,            0.058161,                   0,           0.0095842,           0.0095842,           0.0095842
                  23,            0.053432,            0.069271,                   0,             0.84736,             0.28571,             0.79151,             0.66663,            0.057466,            0.053575,                   0,           0.0095644,           0.0095644,           0.0095644
                  24,            0.054898,            0.064954,                   0,             0.90693,             0.24448,             0.79054,             0.66685,            0.053556,            0.060172,                   0,           0.0095446,           0.0095446,           0.0095446
                  25,             0.05464,             0.07013,                   0,             0.88142,             0.27835,             0.77582,             0.66193,            0.055694,            0.055927,                   0,           0.0095248,           0.0095248,           0.0095248
                  26,             0.05316,            0.069017,                   0,             0.91181,             0.15906,              0.6985,             0.63301,             0.05778,            0.060959,                   0,            0.009505,            0.009505,            0.009505
                  27,            0.054236,             0.06946,                   0,             0.86775,             0.29013,             0.79543,             0.66133,            0.058105,            0.059917,                   0,           0.0094852,           0.0094852,           0.0094852
                  28,              0.0524,            0.074872,                   0,             0.86943,             0.25184,             0.78462,             0.65956,            0.056659,            0.055036,                   0,           0.0094654,           0.0094654,           0.0094654
                  29,            0.052143,            0.062104,                   0,             0.85289,             0.27518,             0.78617,             0.66222,            0.052849,            0.058788,                   0,           0.0094456,           0.0094456,           0.0094456
                  30,            0.051646,            0.067123,                   0,             0.92111,             0.26215,             0.81649,             0.67359,            0.049248,            0.056341,                   0,           0.0094258,           0.0094258,           0.0094258
                  31,            0.051264,            0.066735,                   0,             0.90185,             0.21355,             0.75932,              0.6571,            0.053932,            0.058362,                   0,            0.009406,            0.009406,            0.009406
                  32,            0.048432,             0.06095,                   0,             0.87801,             0.27788,             0.79448,             0.66789,            0.056549,            0.058932,                   0,           0.0093862,           0.0093862,           0.0093862
                  33,            0.049611,            0.062333,                   0,             0.85338,              0.2651,             0.78138,             0.66392,            0.058396,            0.058938,                   0,           0.0093664,           0.0093664,           0.0093664
                  34,            0.048612,             0.07591,                   0,             0.85908,             0.29161,              0.7754,             0.65587,            0.052165,            0.060071,                   0,           0.0093466,           0.0093466,           0.0093466
                  35,            0.049224,            0.065863,                   0,             0.83599,             0.27835,              0.7633,             0.65669,            0.052728,            0.056811,                   0,           0.0093268,           0.0093268,           0.0093268
                  36,            0.047782,            0.068962,                   0,             0.84857,             0.30633,             0.76472,             0.65355,            0.058203,            0.057516,                   0,            0.009307,            0.009307,            0.009307
                  37,            0.049853,            0.061487,                   0,             0.85638,             0.25037,             0.77681,             0.66294,            0.059674,            0.062106,                   0,           0.0092872,           0.0092872,           0.0092872
                  38,            0.049121,            0.060982,                   0,              0.9077,             0.25184,             0.78142,             0.65946,            0.060065,            0.061559,                   0,           0.0092674,           0.0092674,           0.0092674
                  39,            0.046597,            0.060494,                   0,             0.94211,             0.25479,             0.81264,             0.67628,            0.057775,            0.058409,                   0,           0.0092476,           0.0092476,           0.0092476
                  40,            0.047761,            0.065247,                   0,             0.87546,             0.28724,             0.78991,             0.66645,             0.05473,            0.061434,                   0,           0.0092278,           0.0092278,           0.0092278
                  41,            0.047433,             0.05831,                   0,             0.90391,              0.2489,             0.79852,             0.66953,             0.05489,             0.06268,                   0,            0.009208,            0.009208,            0.009208
                  42,            0.047011,            0.059212,                   0,             0.85953,               0.243,             0.76825,             0.65735,            0.054594,            0.059816,                   0,           0.0091882,           0.0091882,           0.0091882
                  43,            0.046198,            0.052964,                   0,             0.81303,             0.28571,              0.7573,             0.65973,            0.057695,            0.065089,                   0,           0.0091684,           0.0091684,           0.0091684
                  44,            0.046436,            0.062326,                   0,             0.84294,             0.26804,             0.76167,             0.66039,            0.053445,            0.061042,                   0,           0.0091486,           0.0091486,           0.0091486
                  45,            0.044774,            0.059717,                   0,             0.85356,             0.27099,             0.77502,             0.66396,            0.053089,            0.063204,                   0,           0.0091288,           0.0091288,           0.0091288
                  46,            0.045691,            0.063539,                   0,             0.86222,             0.26657,             0.77941,             0.66431,            0.054435,            0.062134,                   0,            0.009109,            0.009109,            0.009109
                  47,            0.045453,            0.065314,                   0,              0.8947,             0.30339,             0.80915,             0.67189,            0.054929,            0.062456,                   0,           0.0090892,           0.0090892,           0.0090892
