               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11377,            0.066658,                   0,              0.6067,             0.29602,             0.60543,             0.60128,            0.094789,            0.046703,                   0,              0.0838,              0.0018,              0.0018
                   1,            0.098907,            0.070046,                   0,              0.6087,             0.38439,             0.61536,             0.60421,             0.07785,            0.052866,                   0,            0.066693,           0.0036927,           0.0036927
                   2,            0.090093,            0.091533,                   0,             0.63241,            0.095729,             0.61541,             0.60343,            0.086523,            0.064404,                   0,            0.049578,           0.0055778,           0.0055778
                   3,            0.085088,            0.087735,                   0,             0.67691,             0.13549,             0.63769,             0.61247,            0.074522,            0.074677,                   0,            0.032455,           0.0074554,           0.0074554
                   4,            0.080925,            0.093112,                   0,             0.65833,            0.083947,             0.62177,             0.60589,            0.076393,            0.058255,                   0,            0.015326,           0.0093256,           0.0093256
                   5,            0.083362,            0.085473,                   0,             0.74372,             0.15758,             0.67215,             0.61801,            0.068837,            0.068895,                   0,            0.009901,            0.009901,            0.009901
                   6,            0.077109,            0.078762,                   0,             0.77298,              0.2106,             0.70252,              0.6285,            0.067479,            0.079322,                   0,            0.009901,            0.009901,            0.009901
                   7,             0.07287,            0.089984,                   0,             0.77031,             0.26068,             0.69601,             0.62731,            0.069963,             0.10206,                   0,           0.0098812,           0.0098812,           0.0098812
                   8,            0.069349,            0.068713,                   0,             0.69254,             0.17767,             0.66124,             0.61823,             0.07065,            0.071668,                   0,           0.0098614,           0.0098614,           0.0098614
                   9,            0.068532,            0.065263,                   0,             0.81346,             0.18704,             0.72316,              0.6392,            0.060057,            0.062123,                   0,           0.0098416,           0.0098416,           0.0098416
                  10,            0.067559,            0.076296,                   0,              0.7308,             0.17673,             0.67534,             0.62497,            0.060531,            0.059634,                   0,           0.0098218,           0.0098218,           0.0098218
                  11,            0.066835,            0.080209,                   0,             0.79739,             0.16348,             0.69923,             0.62959,            0.070005,            0.065983,                   0,            0.009802,            0.009802,            0.009802
                  12,            0.064841,            0.087653,                   0,             0.78881,             0.24475,             0.72414,              0.6381,            0.066188,            0.075156,                   0,           0.0097822,           0.0097822,           0.0097822
                  13,            0.063357,            0.092031,                   0,             0.78358,             0.30633,             0.74564,             0.64935,             0.06342,            0.073439,                   0,           0.0097624,           0.0097624,           0.0097624
                  14,            0.064371,            0.075674,                   0,             0.82469,             0.30474,             0.76684,             0.65288,            0.061296,            0.055921,                   0,           0.0097426,           0.0097426,           0.0097426
                  15,            0.063497,            0.081516,                   0,             0.85183,             0.31517,             0.78758,              0.6636,            0.057511,            0.052219,                   0,           0.0097228,           0.0097228,           0.0097228
                  16,            0.060826,            0.089362,                   0,             0.82652,             0.26215,             0.76655,             0.65744,            0.054965,            0.054884,                   0,            0.009703,            0.009703,            0.009703
