               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094547,            0.027331,                   0,             0.85453,                   1,             0.70275,             0.65083,             0.08652,             0.01594,                   0,              0.0838,              0.0018,              0.0018
                   1,             0.08681,            0.026704,                   0,             0.85413,                   1,             0.70246,             0.65071,            0.082308,            0.017014,                   0,            0.066693,           0.0036927,           0.0036927
                   2,            0.083075,            0.033503,                   0,             0.85407,                   1,             0.70243,             0.65066,            0.078942,            0.017601,                   0,            0.049578,           0.0055778,           0.0055778
                   3,            0.081832,             0.03372,                   0,             0.85533,                   1,              0.7039,               0.651,            0.075098,            0.017967,                   0,            0.032455,           0.0074554,           0.0074554
                   4,            0.079528,            0.037298,                   0,             0.85527,                   1,             0.70347,             0.65107,            0.072834,            0.017369,                   0,            0.015326,           0.0093256,           0.0093256
                   5,            0.079569,            0.036587,                   0,             0.85463,                   1,             0.70315,             0.65098,             0.07255,            0.016598,                   0,            0.009901,            0.009901,            0.009901
                   6,            0.078469,            0.032583,                   0,             0.85587,                   1,             0.70412,             0.65117,            0.070365,              0.0162,                   0,            0.009901,            0.009901,            0.009901
                   7,            0.076866,            0.037503,                   0,             0.85503,                   1,             0.70364,             0.65121,            0.069742,             0.01502,                   0,           0.0098812,           0.0098812,           0.0098812
                   8,            0.075962,            0.028821,                   0,              0.8552,                   1,             0.70355,             0.65105,            0.066721,            0.016731,                   0,           0.0098614,           0.0098614,           0.0098614
                   9,             0.07535,            0.027495,                   0,             0.85627,                   1,             0.70591,             0.65165,            0.064543,             0.01813,                   0,           0.0098416,           0.0098416,           0.0098416
                  10,            0.075515,            0.033403,                   0,             0.85727,                   1,              0.7146,             0.65288,            0.063733,            0.018844,                   0,           0.0098218,           0.0098218,           0.0098218
                  11,            0.076237,            0.033402,                   0,             0.85656,                   1,             0.70675,             0.65172,            0.076789,            0.017706,                   0,            0.009802,            0.009802,            0.009802
                  12,            0.074445,            0.037346,                   0,             0.85837,                   1,              0.7101,             0.65221,            0.074422,            0.018289,                   0,           0.0097822,           0.0097822,           0.0097822
                  13,            0.073854,            0.039003,                   0,             0.85943,                   1,             0.71254,             0.65306,            0.073784,            0.018553,                   0,           0.0097624,           0.0097624,           0.0097624
                  14,            0.073229,            0.033022,                   0,              0.8597,                   1,             0.71962,             0.65512,            0.068672,            0.018906,                   0,           0.0097426,           0.0097426,           0.0097426
